SOURCE	TARGET	EDGE_ATTRIBUTE	SOURCE_NODE_ATTRIBUTE	TARGET_NODE_ATTRIBUTE
ABC-2-CPLX	ABC-2-RXN	NO_ARROW	GENE_PROD	RXN
BETAGALACTOSID-CPLX	BETAGALACTOSID-RXN	NO_ARROW	GENE_PROD	RXN
BETAGALACTOSID-CPLX	RXN0-5363	NO_ARROW	GENE_PROD	RXN
BETAGALACTOSID-CPLX	RXN-17726	NO_ARROW	GENE_PROD	RXN
BETAGALACTOSID-CPLX	RXN0-7219	NO_ARROW	GENE_PROD	RXN
GALACTOACETYLTRAN-CPLX	GALACTOACETYLTRAN-RXN	NO_ARROW	GENE_PROD	RXN
LACY-MONOMER	TRANS-RXN-24	NO_ARROW	GENE_PROD	RXN
LACY-MONOMER	TRANS-RXN-94	NO_ARROW	GENE_PROD	RXN
LACY-MONOMER	RXN0-7215	NO_ARROW	GENE_PROD	RXN
LACY-MONOMER	RXN0-7217	NO_ARROW	GENE_PROD	RXN
LACY-MONOMER	RXN-17755	NO_ARROW	GENE_PROD	RXN
WATER	ABC-2-RXN	NO_REVERSIBLE	MET	RXN
ATP	ABC-2-RXN	NO_REVERSIBLE	MET	RXN
L-ARABINOSE	ABC-2-RXN	NO_REVERSIBLE	MET	RXN
CPD-15972	BETAGALACTOSID-RXN	NO_REVERSIBLE	MET	RXN
WATER	BETAGALACTOSID-RXN	NO_REVERSIBLE	MET	RXN
Alpha-lactose	RXN0-5363	REVERSIBLE	MET	RXN
CPD-3561	RXN-17726	NO_REVERSIBLE	MET	RXN
WATER	RXN-17726	NO_REVERSIBLE	MET	RXN
CPD-3785	RXN0-7219	NO_REVERSIBLE	MET	RXN
WATER	RXN0-7219	NO_REVERSIBLE	MET	RXN
Beta-D-Galactosides	GALACTOACETYLTRAN-RXN	NO_REVERSIBLE	MET	RXN
ACETYL-COA	GALACTOACETYLTRAN-RXN	NO_REVERSIBLE	MET	RXN
PROTON	TRANS-RXN-24	REVERSIBLE	MET	RXN
Alpha-lactose	TRANS-RXN-24	REVERSIBLE	MET	RXN
PROTON	TRANS-RXN-94	REVERSIBLE	MET	RXN
MELIBIOSE	TRANS-RXN-94	REVERSIBLE	MET	RXN
PROTON	RXN0-7215	REVERSIBLE	MET	RXN
CPD-3561	RXN0-7215	REVERSIBLE	MET	RXN
PROTON	RXN0-7217	REVERSIBLE	MET	RXN
CPD-3785	RXN0-7217	REVERSIBLE	MET	RXN
PROTON	RXN-17755	REVERSIBLE	MET	RXN
CPD-3801	RXN-17755	REVERSIBLE	MET	RXN
ABC-2-RXN	Pi	NO_REVERSIBLE	RXN	MET
ABC-2-RXN	ADP	NO_REVERSIBLE	RXN	MET
ABC-2-RXN	PROTON	NO_REVERSIBLE	RXN	MET
ABC-2-RXN	L-ARABINOSE	NO_REVERSIBLE	RXN	MET
BETAGALACTOSID-RXN	GALACTOSE	NO_REVERSIBLE	RXN	MET
BETAGALACTOSID-RXN	Glucopyranose	NO_REVERSIBLE	RXN	MET
RXN0-5363	ALLOLACTOSE	REVERSIBLE	RXN	MET
RXN-17726	GALACTOSE	NO_REVERSIBLE	RXN	MET
RXN-17726	Fructofuranose	NO_REVERSIBLE	RXN	MET
RXN0-7219	GALACTOSE	NO_REVERSIBLE	RXN	MET
RXN0-7219	D-ARABINOSE	NO_REVERSIBLE	RXN	MET
GALACTOACETYLTRAN-RXN	6-Acetyl-Beta-D-Galactosides	NO_REVERSIBLE	RXN	MET
GALACTOACETYLTRAN-RXN	CO-A	NO_REVERSIBLE	RXN	MET
TRANS-RXN-24	PROTON	REVERSIBLE	RXN	MET
TRANS-RXN-24	Alpha-lactose	REVERSIBLE	RXN	MET
TRANS-RXN-94	PROTON	REVERSIBLE	RXN	MET
TRANS-RXN-94	MELIBIOSE	REVERSIBLE	RXN	MET
RXN0-7215	PROTON	REVERSIBLE	RXN	MET
RXN0-7215	CPD-3561	REVERSIBLE	RXN	MET
RXN0-7217	PROTON	REVERSIBLE	RXN	MET
RXN0-7217	CPD-3785	REVERSIBLE	RXN	MET
RXN-17755	PROTON	REVERSIBLE	RXN	MET
RXN-17755	CPD-3801	REVERSIBLE	RXN	MET
